,occupancy,sensor_name,co2,noise,humidity,temperature
2019-11-20 07:00:00+00:00,0,ROOM 1,471.73333740234375,50.15999984741211,36.288221995035805,21.010332743326824
2019-11-20 07:15:00+00:00,0,ROOM 1,471.73333740234375,51.07999928792318,35.81866709391276,21.06188901265462
2019-11-20 07:30:00+00:00,1,ROOM 1,471.73333740234375,52.31597646077474,35.6656125386556,21.133586247762043
2019-11-20 07:45:00+00:00,0,ROOM 1,471.73333740234375,50.472222646077476,35.562445322672524,21.218666076660156
2019-11-20 08:00:00+00:00,1,ROOM 1,480.8555501302083,50.849998474121094,35.45824686686198,21.30693181355794
2019-11-20 08:15:00+00:00,0,ROOM 1,497.4042053222656,50.839743296305336,35.44168345133463,21.391897201538086
2019-11-20 08:30:00+00:00,0,ROOM 1,511.2000020345052,52.91812260945638,35.545363108317055,21.455716451009113
2019-11-20 08:45:00+00:00,0,ROOM 1,524.2478434244791,50.978888193766274,35.335889180501304,21.54022216796875
2019-11-20 09:00:00+00:00,1,ROOM 1,540.2247721354166,53.104443868001304,35.66022237141927,21.71999994913737
2019-11-20 09:15:00+00:00,1,ROOM 1,545.8708902994791,54.40038299560547,36.35357793172201,21.89321009318034
2019-11-20 09:30:00+00:00,1,ROOM 1,540.9333292643229,55.1511116027832,37.1488889058431,21.723000208536785
2019-11-20 09:45:00+00:00,1,ROOM 1,574.95556640625,52.00984191894531,37.30258814493815,21.58725357055664
2019-11-20 10:00:00+00:00,1,ROOM 1,679.3540242513021,50.02222188313802,36.48111089070638,21.540555318196613
2019-11-20 10:15:00+00:00,0,ROOM 1,726.9666748046875,49.90869649251302,36.111287434895836,21.68264325459798
2019-11-20 10:30:00+00:00,1,ROOM 1,741.8698527018229,50.43555577596029,35.96488952636719,21.811777750651043
2019-11-20 10:45:00+00:00,1,ROOM 1,614.5,51.63666661580404,35.78555679321289,21.90511131286621
2019-11-20 11:00:00+00:00,1,ROOM 1,577.886962890625,52.74214553833008,35.81329472859701,22.00347137451172
2019-11-20 11:15:00+00:00,1,ROOM 1,565.7888997395834,53.92555491129557,35.823221842447914,22.087666829427082
2019-11-20 11:30:00+00:00,0,ROOM 1,564.2333374023438,53.96888987223307,36.0238889058431,22.129666646321613
2019-11-20 11:45:00+00:00,1,ROOM 1,566.5812377929688,53.60777791341146,36.27811050415039,22.19433339436849
2019-11-20 12:00:00+00:00,1,ROOM 1,562.2777709960938,55.94945398966471,36.59889602661133,22.371342341105144
2019-11-20 12:15:00+00:00,0,ROOM 1,575.4222208658854,52.76888783772787,37.16688919067383,22.34066645304362
2019-11-20 12:30:00+00:00,0,ROOM 1,596.6888834635416,50.279998779296875,37.17377853393555,22.069000244140625
2019-11-20 12:45:00+00:00,0,ROOM 1,663.5040893554688,49.393349965413414,37.18933868408203,21.955766042073567
2019-11-20 13:00:00+00:00,1,ROOM 1,750.8222249348959,51.25444412231445,37.21444447835287,21.941999435424805
2019-11-20 13:15:00+00:00,0,ROOM 1,643.1444295247396,52.00999959309896,37.19711049397787,22.028888702392578
2019-11-20 13:30:00+00:00,1,ROOM 1,608.6845703125,51.64574686686198,37.254739125569664,22.100248336791992
2019-11-20 13:45:00+00:00,1,ROOM 1,606.6555582682291,51.33969370524088,37.037924448649086,22.094735463460285
2019-11-20 14:00:00+00:00,1,ROOM 1,616.9666748046875,50.78666687011719,36.95077768961588,22.10188865661621
2019-11-20 14:15:00+00:00,1,ROOM 1,630.9118855794271,55.946207682291664,37.30398178100586,22.194371541341145
2019-11-20 14:30:00+00:00,1,ROOM 1,616.4923299153646,56.57271957397461,38.263678232828774,22.230520884195965
2019-11-20 14:45:00+00:00,1,ROOM 1,611.3111165364584,56.32888921101888,38.97155507405599,21.983666102091473
2019-11-20 15:00:00+00:00,1,ROOM 1,646.7260538736979,58.14111200968424,39.45455423990885,21.8804448445638
